dataset,split,cp_r2,cp_rmse
Acetylcholinesterase,RND_07,0.6382263975066867,0.7535827243256239
Acetylcholinesterase,RND_08,0.6379278303687013,0.7543681859412573
Acetylcholinesterase,RND_09,0.6762486523267647,0.7057045306330938
Acetylcholinesterase,SCAF_00,0.4416350596221881,0.909693910308292
Acetylcholinesterase,SCAF_01,0.517607737882491,0.9128084497795408
Acetylcholinesterase,SCAF_02,0.34920027809548093,1.0212069380322397
Acetylcholinesterase,SCAF_03,0.3952401553099729,0.9545874613741826
Acetylcholinesterase,SCAF_04,0.5463154269253909,0.8560610322220888
Acetylcholinesterase,SCAF_05,0.46707322192287126,0.9715461559113754
Acetylcholinesterase,SCAF_06,0.4856265567618214,0.8846163705936753
Acetylcholinesterase,SCAF_07,0.46693377083160537,0.902072199793409
Acetylcholinesterase,SCAF_08,0.5026909061463711,0.8396754189598958
Acetylcholinesterase,SCAF_09,0.45879234544942027,0.950265864146241
Aurora-A,RND_00,0.6771431044461245,0.8439424677063079
Aurora-A,RND_01,0.6649378099545239,0.806881159631731
Aurora-A,RND_02,0.6168554115610096,0.8913124025108711
Aurora-A,RND_03,0.7267467510251939,0.7728498917071792
Aurora-A,RND_04,0.6868709737230216,0.8255990951123198
Aurora-A,RND_05,0.6962962912081938,0.8012120777636728
Aurora-A,RND_06,0.6251849518284194,0.8658158230155386
Aurora-A,RND_07,0.5877316165559778,0.9090500599430752
Aurora-A,RND_08,0.6384979977797663,0.8631271000656692
Aurora-A,RND_09,0.6218411513928891,0.8942241456224691
Aurora-A,SCAF_00,0.5447120203591878,0.9533066741639821
Aurora-A,SCAF_01,0.5719151131026197,0.9325443755724937
Aurora-A,SCAF_02,0.5443851062387468,0.9604985880654929
Aurora-A,SCAF_03,0.5300242257722159,0.898003005410153
Aurora-A,SCAF_04,0.3392729132438077,0.9243149246834338
Aurora-A,SCAF_05,0.5030102198318603,0.9207901247985337
Aurora-A,SCAF_06,0.5527510355249375,1.0311513741730525
Aurora-A,SCAF_07,0.5777810139746506,0.9328210813780848
Aurora-A,SCAF_08,0.5132475893340944,0.9433305364549566
Aurora-A,SCAF_09,0.5222870730230087,0.9270569713671487
B-raf,RND_00,0.6896401068058176,0.7150889926592923
B-raf,RND_01,0.7300461866507058,0.6570322511181221
B-raf,RND_02,0.7088941110321905,0.6697343305411014
B-raf,RND_03,0.6969284407776508,0.7353560472124016
B-raf,RND_04,0.6383255383182384,0.7714012407827201
B-raf,RND_05,0.6824484854988012,0.6987221391643883
B-raf,RND_06,0.6701878438038206,0.7186085312046707
B-raf,RND_07,0.6583847318776053,0.7348980631703244
B-raf,RND_08,0.702494502665532,0.7033189889172959
B-raf,RND_09,0.6908621424930845,0.6955037086261119
B-raf,SCAF_00,0.5445362366572875,0.8511632562724726
B-raf,SCAF_01,0.48958026393222653,1.0181361849933008
B-raf,SCAF_02,0.5986141870811523,0.6333235662335094
B-raf,SCAF_03,0.4517142092294296,0.9748366335662221
B-raf,SCAF_04,0.5484294406956697,0.8977592281501224
B-raf,SCAF_05,0.3467893426711114,1.0610573916703305
B-raf,SCAF_06,0.6516765074689818,0.8913280988441693
B-raf,SCAF_07,0.42654389339588306,0.8655170688939188
B-raf,SCAF_08,0.6032778325399049,0.799546396292184
B-raf,SCAF_09,0.5425263354887574,0.9386065419981717
COX-1,RND_00,0.3002402648936434,0.7626397841572266
COX-1,RND_01,0.3437136708683498,0.6667240064123837
COX-1,RND_02,0.34155608908060575,0.7759159890131716
COX-1,RND_03,0.37866716192230654,0.738815525298681
COX-1,RND_04,0.4106042406506982,0.6550215506328456
COX-1,RND_05,0.4795123690582447,0.6394756310977567
COX-1,RND_06,0.31176474519098196,0.7247190973760239
COX-1,RND_07,0.4078702741758985,0.698664093174805
