dataset,split,gp_r2,xgb_r2,ffnn_r2,gp_rmse,xgb_rmse,ffnn_rmse
Glycogen,SCAF_02,0.43942575987070465,0.2949804971396951,0.3104339795676271,0.8078802323421297,0.9060058017285489,0.8960213121519854
Glycogen,SCAF_03,0.4516976197651995,0.4374585376942335,0.3051244894901485,0.8412689983184071,0.852122608740552,0.9470618062427691
Glycogen,SCAF_04,0.3362646944520946,0.09181992097307934,0.24701710335195315,0.9475085310853374,1.1083365489657606,1.0092022848397373
Glycogen,SCAF_05,0.46022355909160584,0.3623047480957149,0.3981052657940366,0.8220880930565877,0.8935482055729433,0.8681038198854285
Glycogen,SCAF_06,0.462706761904631,0.3137142129465339,0.40223002362118654,0.7925035884581774,0.8956700501095086,0.8359159250915457
Glycogen,SCAF_07,0.45943556805045094,0.3982573320851611,0.42291662809896813,0.7685959991715456,0.8109233200378662,0.7941337737193831
Glycogen,SCAF_08,0.3616331029238191,0.2875082066988319,0.12677511058500268,0.9215191429958887,0.9735519150698,1.0777852484509454
Glycogen,SCAF_09,0.34801101397766,0.35510698920938677,0.26284535373045614,0.8264759559498012,0.8219661424587246,0.8787986830967125
HERG,RND_00,0.6120371074867914,0.5293062565839386,0.5607750538774499,0.5603802731989617,0.6172441138395698,0.5962539147212395
HERG,RND_01,0.6677608991236332,0.606543032063951,0.6321132997034407,0.525785349857371,0.572178757189529,0.553273861872873
HERG,RND_02,0.6398999836273098,0.5926522388447102,0.5524752664899462,0.5442687486027,0.578874600855424,0.6067507879662809
HERG,RND_03,0.6006192942129084,0.5468087426442785,0.5029466733653409,0.5504703397122005,0.5863826946753108,0.6141039286230432
HERG,RND_04,0.632145907124208,0.5598427529883632,0.5698682830930312,0.5389447842766528,0.5895361018261994,0.582783451035663
HERG,RND_05,0.643740826711463,0.5854073275371715,0.5689643103382382,0.5273823660630572,0.5689228637718272,0.5800950932602031
HERG,RND_06,0.6188306163615431,0.5643252414677002,0.5635579394176904,0.5479528253976167,0.5858215792524477,0.5863372211967722
HERG,RND_07,0.6004313538611962,0.5301468793782824,0.5628466991330492,0.5449956167487723,0.5909875965446966,0.5700516267182866
HERG,RND_08,0.6194606716437348,0.5440105141764668,0.5633717851657969,0.5343494358759207,0.5849287876764684,0.5723760849174346
HERG,RND_09,0.6247464815597488,0.5611119095596648,0.5683913172156358,0.5703041612112918,0.6167668908844431,0.6116306496780367
HERG,SCAF_00,0.3934490038638314,0.3181426908118933,0.33394473145383563,0.6067362375541443,0.6432992189604145,0.6358012947013603
HERG,SCAF_01,0.5358646555551876,0.4830756564756141,0.403951808705867,0.6567154297136908,0.6930561024034926,0.7442101461381716
HERG,SCAF_02,0.4734753503197331,0.40654993020424,0.38638375390497237,0.7064270442953918,0.749980645387578,0.7626168343995738
HERG,SCAF_03,0.5274266818135422,0.43130519007088586,0.4328620574848201,0.6309984408872337,0.6922027492030108,0.6912546075490945
HERG,SCAF_04,0.43933343804240366,0.33180929415622995,0.2970959771355258,0.638909178783508,0.6974884411881426,0.7153767379815914
HERG,SCAF_05,0.4140993465053725,0.32887887529484083,0.35578506985977976,0.6188768122756848,0.6623578297691827,0.6489445847698224
HERG,SCAF_06,0.5128294691134863,0.5038868920845752,0.38955146888198333,0.6490881765431388,0.6550184670575006,0.7265871617697967
HERG,SCAF_07,0.4604570188232525,0.40338608976153345,0.4122975024684896,0.6271120567964236,0.6594453562787738,0.6545018750774431
HERG,SCAF_08,0.48766515085108875,0.3928305378256659,0.42208216022580225,0.5746557973342112,0.6255842464722841,0.6103288424468261
HERG,SCAF_09,0.44559210976929586,0.31239740657208404,0.37354236533556584,0.6719238915892247,0.7482972261834365,0.7142516223789485
JAK2,RND_00,0.7117479139520115,0.6867437863374186,0.6960813325867022,0.6440538500574402,0.6714068973136648,0.6613245413654917
